model,held_out_category,precision,recall,f1_score,false_positive_rate,tp,fp,tn,fn
Autoencoder,DoS,0.9782952230451422,0.9624627718358402,0.9703144179019922,0.04931649074234297,51383,1140,21976,2004
IsolationForest,DoS,0.9755987347492092,0.8896922471762788,0.9306672675438167,0.05139297456307319,47498,1188,21928,5889
RandomForest(supervised),DoS,0.9978859733240345,0.8576432464832262,0.9224647681598855,0.004196227721059007,45787,97,23019,7600
Autoencoder,Probe,0.9135066676599866,0.871066278326348,0.8917818181818182,0.05022495241391244,12262,1161,21955,1815
IsolationForest,Probe,0.8776014836183804,0.6051005185764012,0.7163099693058067,0.05139297456307319,8518,1188,21928,5559
RandomForest(supervised),Probe,0.9721806760394855,0.23087305533849542,0.373134328358209,0.004023187402664821,3250,93,23023,10827
Autoencoder,R2L,0.5100781571369807,0.31958762886597936,0.3929646648708604,0.05152275480186883,1240,1191,21925,2640
IsolationForest,R2L,0.21739130434782608,0.08505154639175258,0.12226750648388292,0.05139297456307319,330,1188,21928,3550
RandomForest(supervised),R2L,0.7219251336898396,0.03479381443298969,0.06638800098352594,0.002249524139124416,135,52,23064,3745
Autoencoder,U2R,0.06591639871382636,0.6890756302521008,0.12032281731474688,0.05026821249351099,82,1162,21954,37
IsolationForest,U2R,0.0214168039538715,0.2184873949579832,0.03900975243810953,0.05139297456307319,26,1188,21928,93
RandomForest(supervised),U2R,0.2781456953642384,0.35294117647058826,0.3111111111111111,0.004715348676241564,42,109,23007,77
